"Kurt (Grain size, sieving, Folk and...)",Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Latitude,Longitude,Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
,149,650A,P3-FP E2,Beach face,2/2/1999,INDIA,36.98917464,-7.968511172,4.16,0.06,99.94,0,1.407,0.213,-0.524,,,,
,150,651A,P3- BERMA E4,Berm,2/2/1999,INDIA,36.98937341,-7.96826253,5.04,1.13,98.87,0,0.521,0.471,-0.175,,,,
0.988,151,652A,A20,,1/1/1997,INDIA,36.99048655,-7.96687006,,3.4,96.6,0,0.446,0.731,-0.133,0.988,0.747,,
1.02,152,653A,A22,,1/1/1997,INDIA,36.99080452,-7.96647229,,1.2,98.8,0,0.8,0.716,-0.083,1.02,0.747,,
0.976,153,654A,A26,,1/1/1997,INDIA,36.99144055,-7.96567662,,1.9,98.1,0,1.159,0.79,0.02,0.976,0.747,,
1.083,154,655A,A28,,1/1/1997,INDIA,36.99239463,-7.96448303,,0.4,99.6,0,0.917,0.583,-0.078,1.083,0.747,,
1.122,155,656A,C19,,1/1/1997,INDIA,36.98968926,-7.9662761,,1.5,98.5,0,0.587,0.523,-0.125,1.122,0.747,,
0.973,156,657A,C20,,1/1/1997,INDIA,36.98984829,-7.96607715,,1.3,98.7,0,1.164,0.872,-0.086,0.973,1.247,,
1.07,157,658A,C22,,1/1/1997,INDIA,36.99016626,-7.96567938,,2.1,97.9,0,0.839,0.712,-0.015,1.07,0.747,,
1.056,158,659A,C24,,1/1/1997,INDIA,36.99048432,-7.96528149,,3,97,0,0.122,0.654,0.108,1.056,-0.243,,
1.109,159,660A,C25,,1/1/1997,INDIA,36.99080229,-7.96488371,,0.7,99.3,0,0.648,0.627,-0.003,1.109,0.747,,
1.256,160,661A,C26,,1/1/1997,INDIA,36.99112035,-7.96448581,,5,95,0,0.661,0.781,-0.149,1.256,0.747,,
1.9,161,662A,D18,,1/1/1997,INDIA,36.98921106,-7.96607853,,16.6,83.4,0,-0.01,1.347,-0.244,1.9,0.247,-3.743,2.237
0.973,162,663A,D19,,1/1/1997,INDIA,36.98937009,-7.96587959,,0,100,0,1.772,0.644,-0.029,0.973,1.747,,
0.645,163,664A,D20,,1/1/1997,INDIA,36.98952912,-7.96568065,,0.1,54.5,45.4,3.205,1.188,0.158,0.645,4.477,2.237,
0.573,164,665A,D21,,1/1/1997,INDIA,36.98968806,-7.96548182,,0,100,0,-4.736,0.715,0.682,0.573,-5.235,-3.743,
1.413,165,666A,D22,,1/1/1997,INDIA,36.98984709,-7.96528287,,14,86,0,0.652,1.492,-0.407,1.413,1.247,-3.743,
