Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,"Latitude (Grain size, sieving)","Longitude (Grain size, sieving)","Depth water [m] (Grain size, sieving/pipette)","Gravel [%] (Grain size, sieving/pipette, ...)","Sdst [%] (Grain size, sieving/pipette, ...)","Mudstone [%] (Grain size, sieving/pipette, ...)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)"
138,488,488,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9505,-7.4128,-119,1.56,51.62,46.82,5.02,3.5,0.35,1.94
139,489,489,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9605,-7.4121,-111,0.9,42.69,56.41,5.65,3.39,0.16,1.87
140,490,490,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.97,-7.4115,-105,2.36,35.26,62.38,6.04,3.53,-0.18,2.02
141,491,491,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9776,-7.4125,-102,1.31,27.75,70.95,6.52,3.37,-0.31,2.05
142,492,492,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.988,-7.4122,-98,0.75,15.83,83.42,7.3,2.92,-0.52,2.61
143,493,493,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9969,-7.4121,-96,0,2.44,97.56,7.96,2.17,-0.12,2.21
144,494,494,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0147,-7.4118,-92,0,0.93,99.07,8.32,2.11,-0.27,2.1
145,495,495,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0455,-7.4111,-68,0,0.39,99.61,8.24,2.15,-0.19,1.87
146,496,496,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0618,-7.4125,-52,0,1.12,98.88,8.02,2.25,-0.12,1.8
147,497,497,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0804,-7.4119,-36,0.22,2.45,97.33,7.54,2.41,-0.01,2.08
148,498,498,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0839,-7.412,-33,0,3.41,96.59,7.44,2.44,0.06,1.94
149,499,499,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0889,-7.412,-30,4.97,31.34,63.69,4.8,3.59,0.02,2.25
