Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
102,1232A,O.A-P14-A4,1/11/2012,EROS,Hand-Collecting,37.0896,-8.192,3.07,0,100,0,0.131,0.655,0.614,1.305,-0.243,,
103,1233A,O.A-P14-A5,1/11/2012,EROS,Hand-Collecting,37.0897,-8.192,3.79,0,100,0,1.773,0.465,-0.031,0.929,1.747,,
104,1234A,O.A-P14-A6,1/11/2012,EROS,Hand-Collecting,37.0898,-8.192,5.04,0.1,99.9,0,1.708,0.605,-0.083,0.978,1.747,,
105,1235A,GA-P4-A1,2/21/2011,EROS,Hand-Collecting,37.0788,-8.314,0.74,44.8,55.2,0,-1.01,0.994,-0.075,0.832,-2.243,-0.743,
106,1236A,GA-P4-A2,2/21/2011,EROS,Hand-Collecting,37.0788,-8.314,1.08,15.5,84.5,0,-0.184,0.82,-0.034,0.985,-0.243,,
107,1237A,GA-P4-A3,2/21/2011,EROS,Hand-Collecting,37.0788,-8.314,1.36,10.4,89.6,0,-0.01,0.758,-0.118,1.127,0.247,,
108,1238A,GA-P4-A4,2/21/2011,EROS,Hand-Collecting,37.0789,-8.314,1.78,1.1,98.9,0,0.213,0.516,-0.028,0.942,0.247,,
109,1239A,GA-P4-A5,2/21/2011,EROS,Hand-Collecting,37.0789,-8.314,2.16,0.1,99.9,0,0.519,0.434,0.024,0.997,0.747,,
110,1240A,GA-P4-A6,2/21/2011,EROS,Hand-Collecting,37.0789,-8.314,2.71,0,100,0,0.877,0.497,0.029,1.01,0.747,,
111,1241A,GA-P4-A7,2/21/2011,EROS,Hand-Collecting,37.079,-8.313,3.45,0.7,99.3,0,0.322,0.523,0,0.921,0.247,,
112,1242A,GA-P4-A8,2/21/2011,EROS,Hand-Collecting,37.079,-8.313,4.32,0.2,99.8,0,0.533,0.434,-0.061,1.014,0.747,,
