Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Chart datum [m] (Hydrographic datum (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)",Obs
17,896A,P1/T4,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0063,-7.8016,0.8,4.3,95.6,0.1,0.894,0.955,-0.118,0.951,1.747,0.747,,Approximate coordinates by geo-referencing
18,897A,P1/T5,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0055,-7.8005,0.5,0.9,99,0.1,1.046,0.901,0.173,1.052,0.747,2.237,,Approximate coordinates by geo-referencing
19,898A,P1/T6,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0048,-7.7994,0.3,6.7,93.2,0.1,0.755,0.894,-0.338,1.496,1.247,,,Approximate coordinates by geo-referencing
20,899A,P3/T1,3/12/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0111,-7.8016,-4.6,6,93.9,0.1,0.984,0.985,-0.282,1.208,1.247,,,Approximate coordinates by geo-referencing
21,900A,P3/T2,3/12/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0104,-7.8005,-3.8,6.9,93,0.1,0.544,0.966,-0.225,1.352,0.747,,,Approximate coordinates by geo-referencing
22,901A,P3/T3,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0097,-7.7994,-4.9,9.5,90.5,0,0.367,0.934,-0.372,1.317,0.747,,,Approximate coordinates by geo-referencing
23,902A,P3/T4,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0089,-7.7982,-9.8,4.5,95.5,0,0.056,0.708,0.098,1.056,-0.243,,,Approximate coordinates by geo-referencing
24,903A,P3/T5,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0082,-7.7971,-4.5,1.5,98.5,0,0.4,0.617,-0.094,1.027,0.747,,,Approximate coordinates by geo-referencing
25,904A,P3/T6,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0075,-7.796,-4.2,17.3,82.7,0,-0.117,1.144,-0.275,1.428,0.247,,,Approximate coordinates by geo-referencing
26,905A,P4/T1,3/12/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.012,-7.8005,1.2,0.2,99.8,0,1.906,0.559,-0.299,1.098,2.237,,,Approximate coordinates by geo-referencing
